,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
122232,225469949,03/11/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,B,46,0,25-44,M,BLACK,1009538,248890,40.849792603000026,-73.908596086,POINT (-73.908596086 40.849792603000026)
122254,226886593,04/13/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,S,120,0,18-24,M,WHITE HISPANIC,961907,164184,40.61730361700006,-74.08048059699999,POINT (-74.08048059699998 40.61730361700006)
122261,224897102,02/26/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,K,71,0,45-64,M,BLACK,1000996,178614,40.656923240000026,-73.93964677899999,POINT (-73.93964677899999 40.656923240000026)
122268,225311180,03/08/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,18,0,25-44,M,BLACK,988211,218129,40.765397475000036,-73.98570226399994,POINT (-73.98570226399994 40.765397475000036)
122371,225311187,03/08/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,32,0,45-64,M,BLACK,999428,236544,40.815929553000046,-73.94516735699995,POINT (-73.94516735699995 40.815929553000046)
122398,226846261,04/13/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553501,F,M,5,73,18-24,M,BLACK,983907,199959,40.71552621300003,-74.00123874799993,POINT (-74.00123874799993 40.71552621300003)
122411,226855794,04/13/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,115,0,25-44,M,WHITE,1013678,212464,40.74980041600002,-73.89379139399993,POINT (-73.89379139399993 40.74980041600002)
122432,225374380,03/09/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,110,0,<18,F,WHITE HISPANIC,1016719,209262,40.74100109200003,-73.88283143899997,POINT (-73.88283143899997 40.74100109200003)
122443,225477805,03/11/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,Q,102,0,18-24,M,WHITE HISPANIC,1031894,194542,40.70052958100007,-73.82817413799995,POINT (-73.82817413799995 40.70052958100007)
122446,225226249,03/05/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,B,50,0,25-44,M,BLACK,1010912,258435,40.87598669200002,-73.90359169199995,POINT (-73.90359169199996 40.87598669200002)
122463,224991082,03/01/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,6,0,25-44,M,BLACK,982746,206647,40.73388303300004,-74.00542831099993,POINT (-74.00542831099993 40.73388303300004)
122551,226062972,03/24/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553004,F,M,17,0,18-24,M,BLACK,992982,215784,40.75895762700002,-73.96848202999998,POINT (-73.96848202999998 40.75895762700002)
122597,226818793,04/12/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,M,23,0,25-44,F,BLACK,998829,226859,40.78934789300007,-73.94735241299998,POINT (-73.94735241299998 40.78934789300007)
122606,225426905,03/10/2021,439.0,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109.0,GRAND LARCENY,PL 1553001,F,Q,103,0,25-44,M,BLACK,1040968,197304,40.708057097000044,-73.79542575099998,POINT (-73.79542575099998 40.708057097000044)
122637,226495852,04/04/2021,419.0,"LARCENY,GRAND FROM PERSON,UNCL",109.0,GRAND LARCENY,PL 1553005,F,B,44,0,18-24,M,BLACK HISPANIC,1003522,243318,40.834514273000025,-73.930357368,POINT (-73.930357368 40.834514273000025)
122644,226266540,03/29/2021,441.0,"LARCENY,GRAND OF AUTO",110.0,GRAND LARCENY OF MOTOR VEHICLE,PL 1553008,F,K,67,0,18-24,M,BLACK,996921,176967,40.652409353000046,-73.95433667599998,POINT (-73.95433667599998 40.652409353000046)
